t,x
39.329999999999998,7.9610000000000003
39.369999999999997,-12.039999999999999
39.399999999999999,-31.030000000000001
39.43,-52.090000000000003
39.469999999999999,-67.730000000000004
39.5,-73.569999999999993
39.530000000000001,-85.879999999999995
39.57,-96.890000000000001
39.600000000000001,-97.409999999999997
39.630000000000003,-95.450000000000003
39.670000000000002,-95.519999999999996
39.700000000000003,-87.120000000000005
39.729999999999997,-77.629999999999995
39.770000000000003,-66.430000000000007
39.799999999999997,-52.07
39.829999999999998,-35.719999999999999
39.869999999999997,-19.100000000000001
39.899999999999999,-2.3639999999999999
39.93,4.1379999999999999
39.969999999999999,19.969999999999999
40,39.729999999999997
40.030000000000001,51.210000000000001
40.07,61.079999999999998
40.100000000000001,67.879999999999995
40.130000000000003,65.730000000000004
40.170000000000002,65.659999999999997
40.200000000000003,65.519999999999996
40.229999999999997,65.060000000000002
40.270000000000003,57.07
40.299999999999997,42.799999999999997
40.329999999999998,22.27
40.369999999999997,3.2559999999999998
40.399999999999999,-13.49
40.43,-28.620000000000001
40.469999999999999,-44.939999999999998
40.5,-60.880000000000003
40.530000000000001,-72.700000000000003
40.57,-83.310000000000002
40.600000000000001,-89.159999999999997
40.630000000000003,-95
40.670000000000002,-95.069999999999993
40.700000000000003,-88.599999999999994
40.729999999999997,-82.980000000000004
40.770000000000003,-73.400000000000006
40.799999999999997,-61.030000000000001
40.829999999999998,-46.979999999999997
40.869999999999997,-29.920000000000002
40.899999999999999,-26.960000000000001
40.93,-7.9450000000000003
40.969999999999999,8.4659999999999993
41,25.93
41.030000000000001,40.75
41.07,52.990000000000002
41.100000000000001,62.259999999999998
41.130000000000003,78.819999999999993
41.170000000000002,81.150000000000006
41.200000000000003,80.030000000000001
41.229999999999997,64.849999999999994
41.270000000000003,57.969999999999999
41.299999999999997,47.43
41.329999999999998,34.68
41.369999999999997,17.789999999999999
41.399999999999999,-1.2669999999999999
41.43,-19.32
41.469999999999999,-35.109999999999999
41.5,-51.090000000000003
41.530000000000001,-66.689999999999998
41.57,-78.290000000000006
41.600000000000001,-87.739999999999995
41.630000000000003,-93.760000000000005
41.670000000000002,-96.150000000000006
41.700000000000003,-96.010000000000005
41.729999999999997,-95.450000000000003
41.759999999999998,-86.859999999999999
41.799999999999997,-73.239999999999995
41.829999999999998,-61.630000000000003
41.859999999999999,-47.740000000000002
41.899999999999999,-31.239999999999998
41.93,-20.420000000000002
41.960000000000001,-4.0670000000000002
42,12.16
42.030000000000001,27.219999999999999
42.060000000000002,40.380000000000003
42.100000000000001,48.240000000000002
42.130000000000003,61.420000000000002
42.159999999999997,62.340000000000003
42.200000000000003,67.930000000000007
42.229999999999997,67.579999999999998
42.259999999999998,64.780000000000001
42.299999999999997,60.469999999999999
42.329999999999998,47.109999999999999
42.359999999999999,32.43
42.399999999999999,15
42.43,-2.8039999999999998
42.460000000000001,-21.949999999999999
42.5,-41.18
42.530000000000001,-57.979999999999997
42.560000000000002,-73.099999999999994
42.600000000000001,-85.230000000000004
42.630000000000003,-93.780000000000001
42.659999999999997,-100.09999999999999
42.700000000000003,-102
42.729999999999997,-101.90000000000001
42.759999999999998,-99.959999999999994
42.799999999999997,-83.969999999999999
42.829999999999998,-73.049999999999997
42.859999999999999,-58.590000000000003
42.899999999999999,-43.369999999999997
42.93,-29.370000000000001
42.960000000000001,-15.539999999999999
43,1.0720000000000001
43.030000000000001,19.050000000000001
43.060000000000002,34.990000000000002
43.100000000000001,50.689999999999998
43.130000000000003,61.020000000000003
43.159999999999997,69.090000000000003
43.200000000000003,71.049999999999997
43.229999999999997,70.760000000000005
43.259999999999998,70.790000000000006
43.299999999999997,64.950000000000003
43.329999999999998,55.530000000000001
43.359999999999999,43.060000000000002
43.399999999999999,27.489999999999998
43.43,9.4800000000000004
43.460000000000001,-8.5139999999999993
43.5,-26.239999999999998
43.530000000000001,-44.890000000000001
43.560000000000002,-60.409999999999997
43.600000000000001,-74.420000000000002
43.630000000000003,-86.170000000000002
43.659999999999997,-94.930000000000007
43.700000000000003,-100.59999999999999
43.729999999999997,-101
43.759999999999998,-100
43.799999999999997,-95.060000000000002
43.829999999999998,-86.200000000000003
43.859999999999999,-74
43.899999999999999,-60.140000000000001
43.93,-43.640000000000001
43.960000000000001,-27.030000000000001
44,-10.1
44.030000000000001,7.0830000000000002
44.060000000000002,22.93
44.100000000000001,37.520000000000003
44.130000000000003,50.399999999999999
44.159999999999997,60.880000000000003
44.200000000000003,68.959999999999994
44.229999999999997,71.569999999999993
44.259999999999998,71.730000000000004
44.299999999999997,71.349999999999994
44.329999999999998,64.620000000000005
44.359999999999999,54.840000000000003
44.399999999999999,42.789999999999999
44.43,25.329999999999998
44.460000000000001,8.0690000000000008
44.5,-11.109999999999999
44.530000000000001,-28.940000000000001
44.560000000000002,-46.18
44.600000000000001,-61.950000000000003
44.630000000000003,-75.950000000000003
44.659999999999997,-86.599999999999994
44.700000000000003,-94.670000000000002
44.729999999999997,-99.209999999999994
44.759999999999998,-99.450000000000003
44.799999999999997,-98.159999999999997
44.829999999999998,-90.510000000000005
44.859999999999999,-80.760000000000005
44.899999999999999,-68.760000000000005
44.93,-55.289999999999999
44.960000000000001,-43.090000000000003
45,-23.539999999999999
45.030000000000001,-10.25
45.060000000000002,9.5440000000000005
45.100000000000001,25.489999999999998
45.130000000000003,39.890000000000001
45.159999999999997,51.43
45.200000000000003,59.310000000000002
45.229999999999997,65.920000000000002
45.259999999999998,67.989999999999995
45.299999999999997,67.790000000000006
45.329999999999998,67.769999999999996
45.359999999999999,59.520000000000003
45.399999999999999,48.030000000000001
45.43,34.770000000000003
45.460000000000001,19.629999999999999
45.5,3.1080000000000001
45.530000000000001,-15.49
45.560000000000002,-33.619999999999997
45.600000000000001,-51.57
45.630000000000003,-66.170000000000002
45.659999999999997,-77.780000000000001
45.700000000000003,-88.810000000000002
45.729999999999997,-96.590000000000003
45.759999999999998,-101
45.799999999999997,-101
45.829999999999998,-100.59999999999999
45.859999999999999,-93.129999999999995
45.899999999999999,-83.579999999999998
45.93,-71.640000000000001
45.960000000000001,-57.509999999999998
46,-40.840000000000003
46.030000000000001,-24.84
46.060000000000002,-7.8159999999999998
46.100000000000001,8.7769999999999992
46.130000000000003,23.43
46.159999999999997,40.369999999999997
46.200000000000003,51.969999999999999
46.229999999999997,60.390000000000001
46.259999999999998,64.709999999999994
46.299999999999997,66.900000000000006
46.329999999999998,66.879999999999995
46.359999999999999,64.379999999999995
46.399999999999999,57.539999999999999
46.43,45.539999999999999
46.460000000000001,31.370000000000001
46.5,15.02
46.530000000000001,-2.206
46.560000000000002,-19.539999999999999
46.600000000000001,-36.740000000000002
46.630000000000003,-53.130000000000003
46.659999999999997,-67.920000000000002
46.700000000000003,-79.340000000000003
46.729999999999997,-88.680000000000007
46.759999999999998,-95.799999999999997
46.799999999999997,-99.680000000000007
46.829999999999998,-100.09999999999999
46.859999999999999,-94.359999999999999
46.899999999999999,-86.859999999999999
46.93,-76.810000000000002
46.960000000000001,-64.049999999999997
47,-49.659999999999997
47.030000000000001,-33.93
47.060000000000002,-18.030000000000001
47.100000000000001,-1.5189999999999999
47.130000000000003,14.619999999999999
47.159999999999997,28.690000000000001
47.200000000000003,41.840000000000003
47.229999999999997,52.170000000000002
47.259999999999998,61.640000000000001
47.299999999999997,66.769999999999996
47.329999999999998,67.219999999999999
47.359999999999999,66.989999999999995
47.399999999999999,64.019999999999996
47.43,55.18
47.460000000000001,43.549999999999997
47.5,28.530000000000001
47.530000000000001,12.82
47.560000000000002,-3.8159999999999998
47.600000000000001,-20.920000000000002
47.630000000000003,-38.710000000000001
47.659999999999997,-53.039999999999999
47.700000000000003,-67.269999999999996
47.729999999999997,-79.540000000000006
47.759999999999998,-89.069999999999993
47.799999999999997,-95.5
47.829999999999998,-95.340000000000003
47.859999999999999,-94.790000000000006
47.899999999999999,-89.700000000000003
47.93,-77.099999999999994
47.960000000000001,-66.719999999999999
48,-56.32
48.030000000000001,-41.630000000000003
48.060000000000002,-26.120000000000001
48.100000000000001,-10.06
48.130000000000003,3.298
48.159999999999997,20.989999999999998
48.200000000000003,36.579999999999998
48.229999999999997,48.700000000000003
48.259999999999998,56.439999999999998
48.299999999999997,63.039999999999999
48.329999999999998,58.049999999999997
48.359999999999999,59.219999999999999
48.399999999999999,58.969999999999999
48.43,59.729999999999997
48.460000000000001,53.890000000000001
48.5,43.310000000000002
48.530000000000001,31
48.560000000000002,15.039999999999999
48.600000000000001,-2.1349999999999998
48.630000000000003,-19.579999999999998
48.659999999999997,-36.859999999999999
48.700000000000003,-52.109999999999999
48.729999999999997,-73.079999999999998
48.759999999999998,-93.140000000000001
48.799999999999997,-101.59999999999999
48.829999999999998,-106.90000000000001
